"site.no","station.name","LATITUDE","LONGITUDE","last.date","rtd","median","anom","perc","perc.anom","curr.dec"
"9172","JANDAKOT AERO",-32.1017,115.8781,2002-10-31,638.4,NA,NA,NA,NA,4
"9178","GINGIN AERO",-31.4636,115.8625,2002-10-31,529.1,NA,NA,NA,NA,5
"9194","MEDINA RESEARCH CENTRE",-32.2222,115.8067,2002-10-31,542.5,NA,NA,NA,NA,3
"9225","PERTH METRO",-31.92,115.8714,2002-10-31,583,NA,NA,NA,NA,3
"9240","BICKLEY",-32.0083,116.1347,2002-10-31,929.4,NA,NA,NA,NA,6
"9500","ALBANY",-35.0097,117.8836,2002-10-31,630.7,NA,NA,NA,NA,4
"9503","BOYANUP POST OFFICE",-33.4839,115.7267,2002-10-31,665.2,NA,NA,NA,NA,5
"9504","BOYUP BROOK",-33.8333,116.3883,2002-10-31,461.6,NA,NA,NA,NA,6
"9505","BALINGUP POST OFFICE",-33.7875,115.98,2002-10-31,709.9,NA,NA,NA,NA,7
"9507","BANNISTER",-32.6842,116.5181,2002-10-31,490.2,NA,NA,NA,NA,6
"9510","BRIDGETOWN POST OFFICE",-33.9578,116.1367,2002-10-31,639.9,NA,NA,NA,NA,7
"9515","BUSSELTON SHIRE",-33.6622,115.3439,2002-10-31,530,NA,NA,NA,NA,3
"9516","CAPEL POST OFFICE",-33.5561,115.5592,2002-10-31,500.5,NA,NA,NA,NA,1
"9518","CAPE LEEUWIN",-34.3742,115.1344,2002-10-31,544.8,NA,NA,NA,NA,2
"9519","CAPE NATURALISTE",-33.5381,115.0183,2002-10-31,358.6,NA,NA,NA,NA,1
"9521","CARMENDALE",-34.735,117.7217,2002-10-31,394.3,NA,NA,NA,NA,1
"9527","TULLOKE",-33.3983,115.7822,2002-10-31,736,NA,NA,NA,NA,7
"9531","DENMARK POST OFFICE",-34.9633,117.3536,2002-10-31,709.4,NA,NA,NA,NA,4
"9534","DONNYBROOK",-33.5731,115.8233,2002-10-31,757.6,NA,NA,NA,NA,6
"9538","DWELLINGUP FORESTRY",-32.7111,116.0575,2002-10-31,1091.8,NA,NA,NA,NA,9
"9542","ESPERANCE AERO",-33.6856,121.8281,2002-10-31,252,NA,NA,NA,NA,1
"9545","FERGUSON",-33.4356,115.8433,2002-10-31,683.5,NA,NA,NA,NA,3
"9547","FOREST GROVE",-34.0725,115.0972,2002-10-31,820.8,NA,NA,NA,NA,2
"9552","GREENBUSHES",-33.8411,116.0561,2002-10-31,729.3,NA,NA,NA,NA,7
"9557","HOPETOUN POST OFFICE",-33.9511,120.1247,2002-10-31,156.6,NA,NA,NA,NA,1
"9561","KENDENUP POST OFFICE",-34.4886,117.6264,2002-10-31,309.2,NA,NA,NA,NA,2
"9565","KOJANEERUP",-34.5319,118.2781,2002-10-31,236.3,NA,NA,NA,NA,2
"9573","MANJIMUP",-34.2556,116.1428,2002-10-31,687.6,NA,NA,NA,NA,5
"9574","MARGARET RIVER POST OFFICE",-33.9525,115.0747,2002-10-31,752.4,NA,NA,NA,NA,3
"9575","MARRADONG",-32.8567,116.44,2002-10-31,552.8,NA,NA,NA,NA,7
"9581","MOUNT BARKER",-34.6256,117.6344,2002-10-31,343.8,NA,NA,NA,NA,1
"9584","MYRUP",-33.7433,121.9933,2002-10-31,301.2,NA,NA,NA,NA,1
"9585","NANNUP",-33.9778,115.7642,2002-10-31,650.9,NA,NA,NA,NA,4
"9587","NEWBICUP",-33.9981,116.4231,2002-10-31,362,NA,NA,NA,NA,3
"9589","NORNALUP",-34.9986,116.8314,2002-10-31,855.3,NA,NA,NA,NA,5
